,Country,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Age dependency ratio, old","Age dependency ratio, young","Birth rate, crude (per 1,000 people)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of current health expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure per capita (current US$),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),Domestic private health expenditure per capita (current US$),"Domestic private health expenditure per capita, PPP  (current international $)","Fertility rate, total (births per woman)","GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","Labor force, female (% of total labor force)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000)",Number of infant deaths,Number of neonatal deaths,Number of under-five deaths,Out-of-pocket expenditure (% of current health expenditure),Out-of-pocket expenditure per capita (current US$),"Out-of-pocket expenditure per capita, PPP (current international $)",Prevalence of anemia among children (% of children under 5),Prevalence of anemia among non-pregnant women (% of women ages 15-49),Prevalence of anemia among pregnant women (%),Prevalence of anemia among women of reproductive age (% of women ages 15-49),Prevalence of overweight (% of adults),"Prevalence of overweight, female (% of female adults)","Prevalence of overweight, male (% of male adults)",Sex ratio at birth (male births per female births),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","Tuberculosis case detection rate (%, all forms)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)",ISO-alpha3 code_x,Year,cases of visceral leishmaniasis,Status of endemicity of cutaneous leishmaniasis 2017,ISO-alpha3 code_y,Buruli cases 2016,ISO-alpha3 code_x,Cases of cholera 2016,Cholera deaths 2016,Unnamed: 0,Oncho Status 2018,ISO-alpha3 code_y,Oncho cases 2016,Trachoma Operations 2018,Trachoma Pop at Risk 2018,Country code_x,Population requiring PC for STH Pre-SAC,National coverage Pre-SAC,Population requiring PC for STH SAC,National coverage SAC,Country code_y,Population requiring PC for SCH annually,Reported number of SAC treated for Schisto,Age group,National coverage Schisto tmt
55,Dominica,,,,,,,,5.30393975,419.36591407,580.65767054,,3.40812007,64.2563873,8.03415691,269.46938595,373.10964167,30.34861458,127.27174493,176.22155844,,7360.0,99.0,99.0,99.0,99.0,96.0,7.8,,,,,,,,,30.4,26.4,32.9,33.0,29.0,36.0,29.14772862,122.23563856,169.24852202,32.5,24.2,29.2,24.4,60.3,65.7,54.7,,,,8.2,2.7,13.8,87.0,0.71,100.0,,,,DMA,,,No autochthonous cases reported,DMA,,,,,,,,,,,AMR,2129,-,4791,-,,,,,
56,Dominican Republic,96.1016,10.715914100174494,46.62994163774179,20.17,15.8,12.0,72.3,6.16130052,414.17657995,936.82158997,6.102,2.81725198,45.72495645,15.9996763,189.38206082,428.36126405,53.65750445,222.23681683,502.67508636,2.422,6640.0,87.0,80.0,73.0,82.0,85.0,50.0,39.90091569365216,4676018.0,77.117,70.815,73.861,19.0,16.5,21.7,25.6,20.7,30.8,5488.0,4434.0,6611.0,44.61633846,184.79042474,417.97549135,28.0,29.6,32.6,29.7,61.2,65.3,56.9,1.05,81.26760999999998,70.83606999999998,6.9,2.2,11.6,80.0,3.3,75.0,10.7030000686646,5.01300001144409,7.28399991989136,DOM,,,Endemic,DOM,,,1159,27,,,,,,,AMR,776853,0.1694,1977405,0.8025,AMR,No PC required,-,-,-
57,Ecuador,74.5986,10.700950570736072,44.59586665303085,20.175,15.1,12.8,72.2,8.38714107,504.78248204,942.8866596,5.121,4.29349231,51.19136872,10.98594838,258.40506161,482.67658651,48.44181854,244.52581396,456.75144465,2.486,5810.0,83.0,84.0,84.0,79.0,86.0,40.0,41.10328739634192,8054003.0,79.109,73.63600000000002,76.327,13.0,12.2,13.9,12.7,7.7,14.8,4191.0,2536.0,4869.0,40.48171185,204.34458984,381.6966606,27.7,18.4,26.4,18.8,56.0,59.2,52.6,1.05,85.66178000000002,77.05238,4.4,1.5,7.4,80.0,3.3,72.0,5.84700012207031,3.7249999046325697,4.59700012207031,ECU,,,Endemic,ECU,,,,,12.0,Elimination verified,ECU,Elimination verified,,,AMR,572159,-,1276495,-,,,,,
58,Egypt,50.9624,8.317561953690152,54.44630204546665,26.494,10.2,5.8,84.1,4.63781726,130.9858695,516.34315446,5.909,1.35885288,29.29940536,4.21851105,38.37808087,151.28547387,69.67723931,91.26733775,359.77365541,3.265,3460.0,95.0,95.0,95.0,95.0,95.0,14.0,23.703988549761554,30246357.0,73.763,69.301,71.484,27.7,23.8,31.5,19.4,12.1,22.9,49073.0,30453.0,57612.0,61.98998068,81.19811519,320.08102167,31.7,28.9,22.6,28.5,63.5,69.5,57.2,1.061,80.69532,70.38754,0.4,0.1,0.7,61.0,0.42,87.0,23.722000122070302,8.89099979400635,12.4069995880127,EGY,2016,0,Endemic,EGY,,,,,,,,,0.0,1888299.0,EMR,No PC required,-,No PC required,-,EMR,5021586,2774195,SAC and Adults,0.9558
59,El Salvador,70.2702,12.631665218101842,43.335898380928214,18.538,10.8,15.4,73.8,6.95775683,293.87255671,599.54871678,6.725,4.48540936,64.46631389,20.92982762,189.44880485,386.5069577,33.27497563,97.78602163,199.49968941,2.079,3510.0,93.0,93.0,93.0,95.0,90.0,60.0,42.15369216356597,2729443.0,77.907,68.801,73.512,14.0,13.1,15.1,12.9,7.3,15.0,1516.0,859.0,1764.0,27.16086599,79.81833132,162.84262353,30.6,22.4,29.0,22.7,59.9,62.3,57.0,1.05,84.0616,66.70129,3.8,1.1,6.9,80.0,1.3,90.0,3.85199999809265,4.830999851226808,4.4180002212524405,SLV,2016,0,Endemic,SLV,,,,,,,,,,,AMR,385476,-,1025586,0.7201,,,,,
60,Equatorial Guinea,157.8528,4.7948109441504725,62.48107239019232,34.114000000000004,53.4,10.7,35.9,3.37653274,281.37453092,838.74427202,10.186,0.79394826,23.51371418,2.58619083,66.16160298,197.21993084,75.25919046,211.76019412,631.23214911,4.687,8260.0,19.0,19.0,19.0,20.0,30.0,181.0,37.167885981741904,474310.0,59.161,56.409,57.681,22.0,21.3,22.6,67.4,31.4,92.8,2747.0,1308.0,3726.0,72.83432742,204.93724714,610.89374933,64.0,42.8,52.1,43.7,26.7,35.5,18.7,1.03,55.24692,50.14599000000001,11.3,4.7,17.4,65.0,17.0,89.0,9.829999923706053,8.95300006866455,9.2790002822876,GNQ,,,No autochthonous cases reported,GNQ,,GNQ,,,13.0,Endemic,GNQ,98797,,,AFR,48176,-,96537,-,AFR,60882,-,-,-
61,Eritrea,53.4908,,,32.2,42.9,11.9,45.2,2.95931347,29.891224600000005,55.33103421,6.854,0.86467682,29.21883146,2.91950316,8.73386654,16.16708163,59.058986,17.65345415,32.67794775,4.133,,95.0,95.0,95.0,95.0,99.0,74.0,,,67.286,62.974,65.092,23.9,22.7,25.3,32.9,18.2,44.5,5237.0,2910.0,7082.0,59.058986,17.65345415,32.67794775,56.6,37.8,40.7,38.1,22.0,28.3,14.7,1.052,67.01446999999999,57.68854,1.3,0.3,2.2,61.0,13.0,91.0,7.05299997329712,6.3639998435974094,6.68400001525879,ERI,2016,No data,Endemic,ERI,,,,,,,,,1991.0,956062.0,AFR,No PC required,-,No PC required,-,AFR,230218,90448,SAC and Adults,0.6121
62,Estonia,13.3262,29.620608789180736,25.049929176388996,10.7,2.8,4.5,92.7,6.68368438,1185.33334806,1987.71815596,11.7,5.0403615,75.44314681,12.40744846,893.89447902,1498.99628519,24.37126573,288.76499456,484.23797697,1.6,18300.0,93.0,93.0,93.0,93.0,93.0,16.0,48.50460813226932,694099.0,82.2,73.3,77.64146341463416,17.0,10.3,25.0,2.3,1.3,2.9,32.0,19.0,41.0,22.68592618,268.90384832,450.93227351,26.0,25.6,25.5,25.6,55.8,51.9,59.6,1.058,89.96826,73.80922,11.6,4.9,19.4,87.0,1.3,80.0,6.06799983978271,7.41499996185303,6.76200008392334,EST,,,No autochthonous cases reported,EST,,,,,,,,,,,,,,,,,,,,
63,Eswatini,78.5332,5.2790080518798295,62.88134723316637,28.85,53.7,9.6,36.7,7.69694547,220.58673255,663.25257978,9.585,5.33434179,69.30465869,15.23098497,152.87688212,459.66493671,16.90060899,37.28050115,112.09372512,3.084,3640.0,90.0,90.0,90.0,90.0,89.0,332.0,40.90991272332802,365046.0,60.908,54.354,57.754,26.7,24.4,29.8,41.2,17.8,56.3,1581.0,688.0,2158.0,9.89895648,21.83578465,65.65508421,42.0,27.0,30.2,27.2,38.4,52.6,22.2,1.03,54.32106,38.67282,9.9,2.9,17.3,80.0,11.0,83.0,24.7439994812012,21.3150005340576,22.7180004119873,SWZ,,,No autochthonous cases reported,SWZ,,,,,,,,,,,AFR,64445,1,112900,0.7545,AFR,187445,-,-,-
64,Ethiopia,64.8554,6.327571831058169,74.19666293758485,31.779,49.0,11.7,39.3,3.97401588,27.52365701,69.52478888,6.825,1.09749129,27.61668101,6.02200156,7.60112056,19.20043917,57.06436417,15.70619987,39.67387872,4.198,660.0,73.0,73.0,73.0,74.0,66.0,177.0,46.504355839397384,49040146.0,67.366,63.617,65.475,18.3,18.0,18.7,42.5,29.8,61.2,136965.0,97138.0,195563.0,37.42413218,10.30048978,26.01904889,50.0,23.3,24.3,23.4,20.9,28.0,13.4,1.04,69.62856,62.60242,2.9,0.8,5.0,69.0,25.0,90.0,2.57699990272522,1.37699997425079,1.93499994277954,ETH,2016,1593,Endemic,ETH,,,,,14.0,Endemic,ETH,17402030,90469.0,77653029.0,AFR,8614307,0.8398,17403223,0.7483,AFR,13106946,5474579,SAC and Adults,0.473
65,Faroe Islands,,,,13.6,,,,,,,7.7,,,,,,,,,2.6,,,,,,,,,,84.4,80.1,82.19756097560978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRO,,,,,,,,,,,,,,,,,,,,,,,,
66,Fiji,43.7334,9.229460911952168,43.73846032455748,19.387,10.1,5.4,84.4,3.46146795,179.91156997,313.17131214,7.091,2.21195708,63.90228384,7.66159292,114.96760211,200.1236208,33.00947975,59.38787325,103.37622085,2.516,5360.0,99.0,99.0,99.0,99.0,94.0,43.0,32.78860594826672,358222.0,73.485,67.407,70.26899999999999,30.6,24.0,36.8,21.1,10.4,25.0,369.0,181.0,438.0,20.63828514,37.13066281,64.63318838,37.5,30.6,39.0,31.0,63.8,67.7,59.9,1.06,78.30781,64.90188,3.0,0.7,5.2,80.0,4.0,89.0,5.56400012969971,3.71300005912781,4.31899976730347,FJI,,,No autochthonous cases reported,FJI,,,,,,,,,0.0,917552.0,WPR,133569,0.0702,222615,0.0768,,,,,
67,Finland,6.8998,33.0743773749574,26.049122002337928,9.6,1.3,5.5,93.2,9.49305799,4117.25778244,4112.05423386,9.8,7.34383511,77.36005738,13.11701778,3185.11298312,3181.08751495,22.63849755,932.08530208,930.90729686,1.57,45590.0,92.0,,92.0,92.0,94.0,4.7,48.050980984653904,2687198.0,84.4,78.6,81.42926829268293,10.2,7.2,13.3,1.9,1.8,2.3,114.0,108.0,139.0,20.35397037,838.02542894,836.9663002,12.6,15.7,21.9,15.9,57.9,50.0,65.6,1.047,93.33229,84.70482,10.7,4.4,17.2,87.0,0.54,32.0,8.58199977874756,9.03699970245361,8.817999839782711,FIN,,,No autochthonous cases reported,FIN,,,,,,,,,,,,,,,,,,,,
68,France,8.8022,30.96405446043317,29.088372825876174,11.7,6.0,6.4,87.6,11.53929503,4263.36156106,4782.28854931,8.9,9.56559676,82.89599623,16.968611199999998,3534.14982713,3964.31876765,17.10400377,729.20424067,817.96137632,1.92,38900.0,96.0,90.0,95.0,96.0,90.0,8.7,46.913310531216496,30319992.0,85.7,79.5,82.52439024390246,10.6,7.2,14.1,3.5,2.4,4.2,2688.0,1864.0,3227.0,9.75624371,415.94394399,466.57172562,12.9,17.8,25.1,18.1,59.5,52.2,66.9,1.052,92.52276,84.95026999999997,12.6,5.4,20.3,83.0,0.62,54.0,9.84899997711182,10.241000175476099,10.057000160217301,FRA,2016,8,Endemic,FRA,,,,,,,,,,,,,,,,,,,,
69,French Polynesia,35.63,10.867185888996401,34.31150167346097,15.379,,,,,,,5.44,,,,,,,,,2.013,,,,,,,23.0,42.70867586230768,115562.0,79.199,74.66199999999998,76.813,,,,,,,,,,,,,,,,,,,,1.05,87.43911999999997,79.8939,,,,87.0,1.9,82.0,13.048999786377001,11.937999725341802,12.411999702453599,PYF,,,,,,,,,,,,,,,WPR,No PC required,-,No PC required,-,,,,,
70,Gabon,98.484,7.51025594360525,60.11393823225434,29.512,49.9,9.1,41.0,3.11291313,220.3547089,555.6279022000001,7.616,2.01054636,64.58729426,9.20255803,142.32114424,358.86502816,34.55839507,76.15105087,192.01608558,3.786,7080.0,75.0,75.0,75.0,74.0,64.0,533.0,39.96307031087756,664506.0,67.765,64.535,66.105,14.4,13.9,14.9,36.1,22.0,50.1,2076.0,1276.0,2859.0,22.51306679,49.6086028,125.08888074,62.5,58.9,60.6,59.1,40.2,46.4,33.7,1.03,69.15531999999999,63.23605,11.5,4.6,18.1,53.0,92.0,48.0,28.121000289917003,13.9720001220703,19.6259994506836,GAB,,,No autochthonous cases reported,GAB,39,GAB,,,15.0,Endemic,GAB,76466,,,AFR,148949,-,310315,-,AFR,187865,-,-,-
71,Gambia,81.943,4.467058621945212,87.32856418713901,39.482,54.8,10.9,34.3,4.43153755,20.93043715,74.31114618,8.062999999999999,0.8227934000000001,18.56677031,2.76238909,3.88610619,13.79717982,37.59633274,7.869076799999998,27.93826578,5.425,620.0,95.0,95.0,95.0,95.0,97.0,174.0,44.352169966333065,696232.0,62.581,59.872,61.19300000000001,20.4,18.9,21.9,42.3,28.3,65.8,3360.0,2276.0,5140.0,23.59053007,4.93760107,17.53039328,75.7,57.0,61.8,57.5,31.9,38.9,24.5,1.03,63.21148,56.15166,3.8,1.1,6.6,70.0,21.0,80.0,12.5579996109009,6.94700002670288,9.43599987030029,GMB,2016,No data,Previously reported cases,GMB,,,,,,,,,77.0,0.0,AFR,36401,0.1522,45898,0.6598,AFR,124362,76930,SAC and Adults,0.8331
72,Georgia,47.052,22.210293788688478,28.56953317171969,13.499,2.7,3.6,93.7,8.43609722,308.03165121,797.17595278,13.228,3.0835446,36.55179072,10.28717545,112.59108452,291.38208597,61.1875579,188.47704492,487.77249764,1.996,3830.0,92.0,92.0,92.0,92.0,93.0,92.0,45.63810980917144,2039265.0,77.482,68.984,73.26100000000002,24.9,15.9,34.9,10.2,7.2,11.4,552.0,386.0,624.0,55.5964618,171.2546993,443.20162407,23.6,27.4,30.1,27.5,54.2,53.5,54.6,1.081,87.01998,67.64612,9.8,2.9,17.7,82.0,5.5,83.0,10.8459997177124,16.5930004119873,13.970000267028801,GEO,2016,60,Endemic,GEO,,,,,,,,,,,EUR,137872,-,274438,-,,,,,
73,Germany,6.8406,32.40296618791529,19.941009091373104,9.6,4.8,4.0,91.2,11.13916763,4714.260873300002,5463.33065234,11.1,9.43162482,84.67082214,21.35562314,3991.60343916,4625.84697945,15.32917786,722.65743415,837.48367288,1.59,44360.0,95.0,87.0,93.0,94.0,97.0,8.1,46.42814445390929,43294640.0,83.5,78.6,80.99024390243903,12.1,8.9,15.2,3.2,2.2,3.8,2269.0,1613.0,2705.0,12.409592800000002,585.02057791,677.97708727,12.4,16.1,23.3,16.3,56.8,48.5,64.9,1.058,92.3313,85.66445999999998,13.4,5.9,21.3,87.0,0.39,70.0,3.74200010299683,4.4510002136230495,4.12200021743774,DEU,,,No autochthonous cases reported,DEU,,,1,Unknown,,,,,,,,,,,,,,,,
74,Ghana,67.64399999999999,5.84862969803208,66.75954832835129,31.047,47.5,9.8,42.7,4.44871433,67.50885898,189.37488586,8.146,1.70632896,38.35555251,6.53767876,25.89339585,72.63578379,48.85341548,32.98038336,92.5160998,3.984,1830.0,93.0,93.0,93.0,95.0,89.0,156.0,48.04477067689367,11783963.0,63.743,61.708,62.742,20.8,23.2,18.2,37.2,25.1,51.8,32266.0,21931.0,44702.0,37.82372777,25.53436704,71.6286413,66.9,45.7,54.3,46.4,32.0,41.0,22.1,1.053,64.98822,59.44423000000001,2.7,0.7,4.7,32.0,36.0,85.0,6.52799987792969,6.98799991607666,6.7670001983642605,GHA,,,Endemic,GHA,371,GHA,175,0,16.0,Endemic,GHA,5169058,0.0,0.0,AFR,3182829,-,7220297,0.1614,AFR,10142988,1032417,SAC and Adults,0.2135
75,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIB,,,,,,,,,,,,,,,,,,,,,,,,
76,Greece,7.4862,30.84301404149223,21.915853112938105,8.6,10.9,2.9,86.2,8.45429347,1510.66671302,2261.1565296,11.0,5.13545281,60.74282628,10.32122411,917.63524015,1373.51071363,39.00135359,589.18918757,881.89470725,1.38,18890.0,99.0,96.0,99.0,99.0,97.0,4.2,43.96750718731364,4906562.0,84.0,78.9,81.3878048780488,12.4,7.7,17.3,4.2,2.9,5.1,387.0,264.0,480.0,34.34369614,518.8187856000002,776.56472777,13.9,15.7,23.7,15.9,62.3,56.2,68.2,1.064,93.49223,86.21884,10.4,4.1,17.2,87.0,0.4,,28.1679992675781,19.9069995880127,23.538999557495107,GRC,2016,57,Endemic,GRC,,,,,,,,,,,,,,,,,,,,
77,Greenland,,,,14.8,,,,,,,8.7,,,,,,,,,2.0,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,9.7,81.0,,,,GRL,,,,,,,,,,,,,,,,,,,,,,,,
78,Grenada,30.4132,10.875740938020703,39.71700947854353,18.683,11.9,6.8,81.3,5.24666501,516.41704659,745.1027805,7.109,2.16904519,41.34140797,9.01766308,213.49407807,308.0359803,57.77659011,298.36816027,430.49497939,2.104,8350.0,96.0,96.0,96.0,98.0,95.0,6.4,,,76.142,71.23899999999998,73.65899999999998,21.4,17.3,25.5,15.1,10.8,16.6,30.0,22.0,33.0,57.77659011,298.36816027,430.49497939,34.0,23.3,27.5,23.5,51.4,58.8,43.7,1.05,84.01644,72.41063,9.3,3.1,15.4,87.0,0.0,100.0,,,,GRD,,,No autochthonous cases reported,GRD,,,,,,,,,,,,,,,,,,,,
79,Guam,33.019,14.045185282080991,38.20847270756639,16.78,,,,,,,5.065,,,,,,,,,2.347,,,,,,,53.0,40.46199234197477,79655.0,82.072,77.181,79.575,,,,,,,,,,,,,,,,,,,,1.058,91.90082,86.41814000000002,,,,87.0,4.3,83.0,5.42799997329712,5.38100004196167,5.400000095367429,GUM,,,,,,,,,,,,,,,,,,,,,,,,
80,Guatemala,72.4582,7.683806486755228,59.684962712819605,25.273000000000003,25.1,15.7,59.2,5.82031093,241.35228463,462.40585501,4.833,2.16600154,37.21453319,17.94450555,89.81812607,172.08218038,61.85499189,149.2884361,286.02110414,2.9730000000000003,3800.0,80.0,80.0,80.0,82.0,86.0,24.0,34.07067430412402,6625067.0,76.582,70.17699999999999,73.40899999999998,14.9,15.0,14.9,23.9,13.3,28.6,9955.0,5590.0,11870.0,53.33825148,128.73308854,246.63919782,36.5,15.9,25.0,16.4,55.9,59.9,51.4,1.05,81.8098,70.67433,2.5,0.7,4.3,80.0,1.9,87.0,3.9600000381469695,2.2409999370575,2.82599997520447,GTM,2016,2,Endemic,GTM,,,,,17.0,Elimination verified,GTM,Elimination verified,0.0,0.0,AMR,1943009,0.3762,2893938,0.2795,,,,,
81,Guinea,137.4098,5.679206765638403,78.00239600190653,35.911,55.7,9.2,35.1,5.47827339,37.45933893,107.72365549,9.261,0.6737478,12.29854276,4.11337835,4.60695282,13.24843984,60.46841761,22.65106949,65.13878986,4.855,770.0,45.0,45.0,45.0,45.0,48.0,176.0,49.41437403513527,4368488.0,60.526,59.489,60.015,22.4,22.9,21.8,58.1,24.5,88.7,25560.0,10950.0,38681.0,49.7618131,18.64044623,53.60524412,74.4,49.5,61.4,50.6,26.6,34.2,18.7,1.024,60.68086,56.90873000000001,1.3,0.3,2.2,58.0,26.0,85.0,2.78200006484985,4.53399991989136,3.66799998283386,GIN,,,Endemic,GIN,72,GIN,,,18.0,Endemic,GIN,6781592,975.0,3602477.0,AFR,1036588,1,1295737,0.9949,AFR,4103318,1753843,SAC,0.4274
82,Guinea-Bissau,87.2052,5.2942515594093225,75.04965321164966,36.579,62.1,7.9,30.0,6.09011769,39.05417469,97.97199975,10.537,2.69496102,44.2513783,12.87863353,17.28201058,43.35396023,35.40050221,13.82537398,34.68257994,4.633,650.0,87.0,87.0,87.0,87.0,81.0,374.0,47.397640435790606,757428.0,59.13399999999999,55.657,57.403,20.0,19.9,20.2,57.4,38.1,87.4,3756.0,2526.0,5671.0,35.40050221,13.82537398,34.68257994,68.1,43.1,50.5,43.8,29.9,37.2,22.2,1.03,59.13316999999999,52.01949000000001,4.8,1.3,8.3,33.0,79.0,76.0,4.40199995040894,4.05600023269653,4.2199997901916495,GNB,,,Endemic,GNB,,,,,19.0,Endemic,GNB,484531,357.0,488142.0,AFR,213211,1,428026,0.4941,AFR,333095,-,-,-
83,Guyana,86.6694,7.904510860948153,44.97443316949421,20.576,20.0,12.4,67.6,4.24328719,192.27367614,332.67455358,8.21,2.50079162,58.93524308,7.72291491,113.31695841,196.06255681,35.15422587,67.5923224,116.94916398,2.51,4270.0,97.0,97.0,97.0,94.0,99.0,93.0,35.599738282026784,311786.0,69.035,64.393,66.65,30.5,28.8,32.4,26.7,19.5,32.3,423.0,310.0,511.0,35.05651752,67.40445497,116.62411317,37.9,32.5,29.1,32.3,49.4,56.6,41.5,1.05,71.84198,62.15036,6.3,1.9,10.6,80.0,18.0,69.0,15.986000061035199,10.3219995498657,12.338000297546401,GUY,,,Endemic,GUY,,,,,,,,,,,AMR,42352,0.6896,154396,0.5539,,,,,
84,Haiti,38.213,7.602666962903223,53.81801167890777,24.179,30.3,12.6,57.1,5.38571841,37.7231276,95.4432869,8.594,0.82592345,15.33543688,4.42002551,5.78500642,14.63664501,46.28024146,17.45835454,44.17138363,2.919,780.0,58.0,58.0,58.0,45.0,53.0,188.0,47.714909664376755,4869895.0,65.515,61.162,63.33,26.5,25.0,28.2,55.0,28.7,73.4,14314.0,7527.0,19146.0,41.73194864,15.74259623,39.83034347,58.2,46.0,50.4,46.2,54.9,58.3,51.1,1.05,66.6074,58.57254,5.8,1.8,10.0,75.0,12.0,82.0,16.590999603271502,10.960000038147,13.647000312805199,HTI,,,No autochthonous cases reported,HTI,,,41421,447,,,,,,,AMR,628348,0.1179,1510468,0.2416,,,,,
85,Honduras,72.1834,7.166139239966003,51.12668519575232,21.715,14.0,19.6,66.5,8.40196647,199.55451507,400.33640974,4.8039999999999985,3.85723152,45.90867549,14.03866276,91.61283474,183.7891432,50.94193867,101.65693867,203.93912831,2.462,2110.0,97.0,97.0,97.0,97.0,97.0,40.0,36.32424836577264,4077615.0,76.133,71.035,73.575,14.0,12.1,16.1,16.2,10.4,18.9,3194.0,2062.0,3731.0,45.01063621,89.82075681,180.19396499,31.4,17.6,21.3,17.8,55.8,59.5,51.8,1.05,80.94285,73.45688,4.0,1.2,6.9,80.0,4.5,88.0,5.55299997329712,4.16300010681152,4.6680002212524405,HND,2016,7,Endemic,HND,,,,,,,,,,,AMR,766052,0.5728,1960350,0.549,,,,,
86,"China, Hong Kong Special Administrative Region",2.7682,21.590561437100984,15.354240097839579,8.3,,,,,,,6.4,,,,,,,,,1.205,42970.0,,,,,,69.0,48.81677810170999,3949386.0,87.3,81.3,84.22682926829269,,,,,,,,,,,,,,,,,,,,1.067,94.3632,89.26563,,,,87.0,2.3,65.0,3.078000068664549,3.68799996376038,3.39000010490417,HKG,,,,,,,,,,,,,,,,,,,,,,,,
87,Hungary,19.8054,26.63121901921513,21.2241747069942,9.7,1.8,4.4,93.8,7.36479381,942.59196302,1963.16263,13.0,4.85070112,65.86336623,10.42414064,620.82279663,1293.00499263,34.13663377,321.76916639,670.15763738,1.53,12940.0,99.0,,99.0,99.0,99.0,8.7,45.67474624394085,4686095.0,79.7,72.6,76.06341463414634,23.0,15.6,31.1,4.1,2.6,4.8,356.0,226.0,426.0,29.699025899999995,279.94063127,583.04017802,26.6,25.8,27.3,25.8,61.6,53.8,69.6,1.06,86.5004,71.91758,11.4,4.5,19.1,87.0,0.68,71.0,5.10799980163574,5.1209998130798295,5.11499977111816,HUN,,,No autochthonous cases reported,HUN,,,,,,,,,,,,,,,,,,,,
88,Iceland,7.316,21.404867256637168,30.669247787610626,12.0,4.4,5.8,89.8,8.29151473,5063.60583151,4245.10898783,6.9,6.75842081,81.51008632,14.93631536,4127.34948438,3460.19200053,18.48991368,936.25634713,784.91698729,1.74,55120.0,91.0,,91.0,91.0,91.0,2.1,47.10075657499699,208175.0,84.1,80.4,82.2048780487805,9.1,8.2,9.9,1.7,1.1,2.2,7.0,5.0,10.0,16.86918382,854.18897586,716.1152387,12.4,15.9,22.1,16.1,59.1,50.5,67.5,1.053,93.57706,90.40373,9.1,3.8,14.5,87.0,0.0,83.0,3.0460000038147004,2.91799998283386,2.9779999256134,ISL,,,No autochthonous cases reported,ISL,,,,,,,,,,,,,,,,,,,,
89,India,24.5354,8.800302136543278,42.72254493355192,19.013,26.0,11.3,62.7,3.65833057,62.71555407,241.48305525,7.31,0.93019386,25.42673063,3.14426719,15.94651501,61.40124602,73.54952988,46.12699522,177.60965202,2.326,1690.0,88.0,88.0,80.0,86.0,88.0,211.0,22.01507767414504,495834167.0,70.166,67.094,68.56,23.3,19.8,26.7,33.6,25.0,41.6,842322.0,630113.0,1046505.0,64.57785669,40.50036063,155.94458134,57.3,51.5,50.1,51.4,19.7,21.6,17.8,1.107,74.70808000000002,66.78331999999999,5.7,1.7,9.4,63.0,32.0,69.0,3.8090000152587904,2.42600011825562,2.7300000190734903,IND,2016,6249,Endemic,IND,,,841,3,,,,,,0.0,SEAR,64608020,1,161026343,1,,,,,
90,Indonesia,47.9942,7.746712416394236,41.18286196143213,18.986,20.7,6.0,73.3,3.12449094,111.55321931,362.72194133,7.122000000000001,1.39761319,44.73090878,8.3103898,49.89876877,162.24882069,54.84193082,61.17793936,198.92371612,2.363,3400.0,79.0,79.0,79.0,80.0,76.0,322.0,38.34591550177221,125529899.0,71.36399999999998,67.15,69.191,26.4,22.6,30.3,22.2,12.8,26.3,109780.0,63647.0,130658.0,37.33550598,41.64895887,135.4240721,36.8,28.2,42.0,28.8,28.2,31.2,25.0,1.05,76.53443,67.11108,0.8,0.2,1.4,43.0,42.0,86.0,3.86500000953674,4.57200002670288,4.30100011825562,IDN,,,No autochthonous cases reported,IDN,,IDN,,,,,,,,,SEAR,21434236,0.5785,40701205,0.5106,SEAR,21327,973,SAC and Adults,0.2806
